Date,Sediment - Fine_136106A_kilograms
2011-04-13,8414.44369600934
2011-04-14,7728.08983566419
2011-04-15,7104.15394905963
2011-04-16,8880.74063616751
2011-04-17,8895.27998539362
2011-04-18,8993.09456618378
2011-04-19,80763.6414759389
2011-04-20,619802.278022656
2011-04-21,1341494.38645772
2011-04-22,1214395.2600086
2011-04-23,822100.137010655
2011-04-24,519291.5218157
2011-04-25,331435.685095913
2011-04-26,217866.414664982
2011-04-27,148502.457115772
2011-04-28,104548.823586581
2011-04-29,75068.560668185
2011-04-30,54700.3474901347
2011-05-01,40467.2482657773
2011-05-02,30562.9396970079
2011-05-03,23811.7857404314
2011-05-04,19285.2116202329
2011-05-05,16042.6292765754
2011-05-06,13854.6316844631
2011-05-07,12286.2880669907
2011-05-08,11292.6513321842
2011-05-09,12825.2885937978
2011-05-10,13482.1890891663
2011-05-11,13931.8021257595
2011-05-12,14151.7474615273
2011-05-13,14093.7021734118
2011-05-14,13779.8483488705
2011-05-15,13291.4245042763
2011-05-16,12627.9140113012
2011-05-17,11891.3175174956
2011-05-18,11127.5748635084
2011-05-19,10348.1610368284
2011-05-20,9660.14538095182
2011-05-21,9068.43596274168
2011-05-22,8576.53337802413
2011-05-23,8281.83247066216
2011-05-24,9372.44590036243
2011-05-25,9767.37566044559
2011-05-26,10054.0596836996
2011-05-27,10119.2823856386
2011-05-28,9951.6616683566
2011-05-29,9635.85521399217
2011-05-30,9190.17089774291
2011-05-31,8704.38376187252
2011-06-01,8228.20444009971
2011-06-02,7735.97462422331
2011-06-03,7215.49033240866
2011-06-04,6683.19710218135
2011-06-05,6223.25154353765
2011-06-06,5823.77091463691
2011-06-07,5515.55772025007
2011-06-08,5318.97731439394
2011-06-09,5292.17614769672
2011-06-10,5420.57976683887
2011-06-11,5803.64325392397
2011-06-12,6369.48285530665
2011-06-13,6793.29920721367
2011-06-14,7083.2594136158
2011-06-15,7222.25495639506
2011-06-16,7178.14600569845
2011-06-17,6933.45192324155
2011-06-18,6527.67346227593
2011-06-19,6032.66566465957
2011-06-20,5513.26431060281
2011-06-21,5007.17844151056
2011-06-22,4539.34893028669
2011-06-23,4125.58434533609
2011-06-24,3762.88964674102
2011-06-25,3472.72888011524
2011-06-26,3250.04377903858
2011-06-27,3097.23722107566
2011-06-28,2988.34512200698
2011-06-29,2918.80882514193
2011-06-30,2864.67528186753
2011-07-01,2803.45115830588
2011-07-02,2712.73687562393
2011-07-03,2600.35412265246
2011-07-04,2467.56375352384
2011-07-05,2319.55372442087
2011-07-06,2160.95068115561
2011-07-07,1998.02495806157
2011-07-08,1841.75989138724
2011-07-09,1695.63971643788
2011-07-10,1563.31199442378
